# Generated by tools/gen-lore.py. Do not edit by hand — rerun the tool.
# The selection is the maintainer's own compilation, not an imported point-of-interest
# list. Each note is a fact about Elite Dangerous and is Frontier's; see NOTICE. Nothing
# here is a distance that gets re-surveyed or a status that can change — anything that
# moves belongs to the web lookup, whose results stay sentences and never become rows.
# Addresses resolved through spansh.co.uk and edsm.net at generation time, which have to
# agree; 11 of 20 also matched a local journal.
systemAddress	name	note
164098653	Achenar	The Empire is governed from here.
1109989017963	Alioth	The Alliance is governed from here.
1178708478315	Alpha Centauri	Hutton Orbital is out here, 0.22 light years from the arrival star — about ninety minutes at full throttle, and the longest supercruise anybody makes on purpose.
81973396946	Beagle Point	Sixty-five thousand light years out, near the far rim. It was Ceeckia ZQ-L c24-0 until Frontier renamed it for the Commanders who got here first.
3238296097059	Colonia	Jaques Station misjumped to here in 3302 and never left. The whole region grew around it.
11304103	Eta Carinae	One of the most massive stars known, and it is shedding itself into the nebula around it.
2587943	Great Annihilator	Two black holes, and the more massive of them is the heaviest stellar black hole known.
560216394075	HIP 12099	John Jameson's Cobra Mark Three came down on the first planet's moon B and is still there — the wreck every Commander eventually visits.
319715002691	HIP 22460	Thargoid surface sites, and the system Azimuth fired the Proteus Wave in.
633742594786	Lave	One of the Old Worlds — Lave, Leesti, Diso and Zaonce were the first systems humanity settled beyond Sol, colonised in the 25th century.
8216113749	Maia	Darnielle's Progress, on Maia A 2 A, is where meta-alloys can be bought rather than harvested.
224644818084	Merope	The first Thargoid barnacle anybody found was on Merope 5 C, in 3302.
3657399571170	Riedquat	Settled from the Old Worlds in the wave after Lave's, and the one with the reputation. Commanders have been warning each other about Riedquat for a very long time.
20578934	Sagittarius A*	The supermassive black hole at the centre of the galaxy.
3932277478106	Shinrarta Dezhra	Founders World, and Jameson Memorial above it. The Pilots Federation's home, and the permit arrives with an Elite rank.
121569805492	Sirius	Sirius Corporation was founded here, and still keeps its headquarters in the system.
10477373803	Sol	Earth is here. Everywhere else on this list is somewhere humanity got to afterwards.
259804475954059	Stuemeae FG-Y d7561	Explorer's Anchorage — the starport furthest from Sol, built where the expeditions stop.
3515254557027	Synuefe XR-H d11-102	The first Guardian ruins ever found, on the first planet's moon B, in October 3302.
67880586498	Syreadiae JX-F c0	The megaship Zurara is derelict above the first planet — the far end of the Formidine Rift mystery, and its crew's logs are still aboard.
