# Generated by tools/gen-engineers.py. Do not edit by hand — rerun the tool.
# Identity from EDCD/FDevIDs engineers.csv; system and base names resolved from those
# ids through spansh.co.uk at generation time; specialities from msarilar/EDEngineer
# blueprints.json (MIT). The referral chain, body, unlock prose and reputation route come
# from EDDiscovery/EliteDangerousCore Engineers.cs at 459d01dc2bcc — C# source, not
# data, so the run asserts all 38 rows parse rather than half-populating the table. Bill
# Turner's referrer is an explicit override; see the script. An Unlock row is filed under
# the engineer it NAMES, not the ones in its Engineers array — those are the referrer on
# all six Odyssey rows, and filing on them put every on-foot tribute one link down the
# chain. Odyssey tributes are EDEngineer's, are cumulative along the chain, and are stale
# since Frontier update 4.0.18.08 — four carry a note saying so. The four Colonia
# engineers have no EDEngineer rows at all and their modification lists were read from the
# wiki; see tools/gen-engineers.py. Coordinates are spansh's, and every one of them agreed
# with EDDiscovery's to within a step of Elite's 1/32 ly grid; the run refuses to write a
# row where they do not. Game data is Frontier's, used
# under their media usage rules — see NOTICE.
# Engineers: 38.
id	name	system	station	tribute	specialities	referred_by	referral_grade	body	discovery	meeting	unlock	reputation	x	y	z
400010	Baltanos	Deriso	The Divine Apparatus		Combat Movement Speed:0,Improved Jump Assist:0,Increased Air Reserves:0,Increased Sprint Duration:0,Faster Handling:0,Improved Hip Fire Accuracy:0,Noise Suppressor:0			3 A	Common knowledge	Reach Friendly reputation with the Colonia Council.	Provide 10 Faction Associates data.		-9520.3125	-909.5	19808.75
300010	Bill Turner	Alioth	Turner Metallics Inc	Bromellite ×50	Plasma Accelerator:5,Sensors:5,Surface Scanner:5,Auto Field-Maintenance Unit:3,Fuel Scoop:3,Kill Warrant Scanner:3,Life Support:3,Manifest Scanner:3,Refinery:3,Wake Scanner:3	Selene Jean	3	4 A	Common knowledge	Gain Friendly status with Alliance. You will also need Allied status with Alioth Independents to get a permit to access the Alioth starsystem.	Provide 50 units of Bromellite.	Craft modules for a major increase. Sell commodities to Turner Metallics Inc.	-33.65625	72.46875	-20.65625
300030	Broo Tarquin	Muang	Broo's Legacy	Fujin Tea ×50	Beam Laser:5,Burst Laser:5,Pulse Laser:5	Hera Tani	3	5 A	From Hera Tani (grade 3-4).	Gain combat rank Competent or higher.	Provide 50 units of Fujin Tea.	Craft modules for a major increase. Hand in bounty vouchers to Broo's Legacy.	17.03125	-172.78125	-3.46875
300300	Chloe Sedesi	Shenve	Cinder Dock	Sensor Fragment ×25	Thrusters:5,Frame Shift Drive:3	Marco Qwent	3	A 6	From Marco Qwent (grade 3-4).	Attain a maximum distance from your career start location of at least 5,000 light years.	Provide 25 units of Sensor Fragments.	Craft modules for a major increase. Sell exploration data to Cinder Dock.	351.96875	-373.46875	-711.09375
300140	Colonel Bris Dekker	Sol	Dekker's Yard		Frame Shift Drive Interdictor:4,Frame Shift Drive:3	Juri Ishmaak	3	Iapetus	From Juri Ishmaak (grade 3-4).	Friendly with the Federation.	Provide 1,000,000 or 10,000,000 credits worth of federal combat bonds.	Craft modules for a major increase. Hand in bounty vouchers to Dekker's Yard.	0.0	0.0	0.0
300000	Didi Vatermann	Leesti	Vatermann LLC	Lavian Brandy ×50	Shield Booster:5,Shield Generator:3	Selene Jean	3	1 A	From Selene Jean (grade 3-4).	Gain trade rank Merchant or higher.	Provide 50 units of Lavian Brandy.	Craft modules for a major increase.Sell commodities to Vatermann LLC.	72.75	48.75	68.25
400002	Domino Green	Orishis	The Jackrabbit		Enhanced tracking:0,Extra backpack capacity:0,Greater range (Kinematic kinetic):0,Greater range (Manticore plasma):0,Greater range (Takada laser):0,Reduced tool battery consumption:0,Stability:0			4	Common knowledge.	Travel at least 100 light years in shuttles.	Provide 5 doses of Push.		-31.0	93.96875	-3.5625
400011	Eleanor Bresa	Desy	Bresa Modifications		Added Melee Damage:0,Damage Resistance:0,Extra Ammo Capacity:0,Faster Shield Regen:0,Magazine Size:0,Reload Speed:0,Stowed Reloading:0			7 A	Common knowledge.	Visit 5 settlements in the Colonia system.	Provide 10 Digital Designs.		-9534.21875	-912.21875	19792.375
300160	Elvira Martuuk	Khun	Long Sight Base	Soontill Relics ×3	Frame Shift Drive:5,Shield Generator:3,Thrusters:2,Shield Cell Bank:1			5	Public knowledge	Attain a maximum distance from your career start location of at least 300 light years.	Provide 3 units of Soontill Relics.	Craft modules for a major increase. Sell exploration data at Long Sight Base.	-171.59375	19.96875	-56.96875
300290	Etienne Dorn	Los	Kraken's Retreat	Occupied Escape Pod ×25	Kill Warrant Scanner:5,Life Support:5,Manifest Scanner:5,Plasma Accelerator:5,Power Distributor:5,Power Plant:5,Rail Gun:5,Sensors:5,Surface Scanner:5,Wake Scanner:5	Liz Ryder	3	A 2 B	From Liz Ryder (grade 3-4).	Gain trade rank Dealer or higher.	Provide 25 units of Occupied Escape Pods.	Craft modules for a major increase.	-9509.34375	-886.3125	19820.125
